2024-04-16 at 14:56:00 | INFO | (2.1%) (step=0001870) Train Loss: 0.00112262, Train Steps/Sec: 2.32
2024-04-16 at 14:56:05 | INFO | (3.7%) (step=0001880) Train Loss: 0.00103694, Train Steps/Sec: 2.32
2024-04-16 at 14:56:09 | INFO | (5.3%) (step=0001890) Train Loss: 0.00091121, Train Steps/Sec: 2.34
2024-04-16 at 14:56:13 | INFO | (6.9%) (step=0001900) Train Loss: 0.00093849, Train Steps/Sec: 2.31
2024-04-16 at 14:56:17 | INFO | (8.6%) (step=0001910) Train Loss: 0.00093150, Train Steps/Sec: 2.34
2024-04-16 at 14:56:22 | INFO | (10.2%) (step=0001920) Train Loss: 0.00105244, Train Steps/Sec: 2.36
2024-04-16 at 14:56:26 | INFO | (11.8%) (step=0001930) Train Loss: 0.00099717, Train Steps/Sec: 2.34
2024-04-16 at 14:56:30 | INFO | (13.4%) (step=0001940) Train Loss: 0.00091488, Train Steps/Sec: 2.34
2024-04-16 at 14:56:34 | INFO | (15.0%) (step=0001950) Train Loss: 0.00081870, Train Steps/Sec: 2.34
2024-04-16 at 14:56:39 | INFO | (16.6%) (step=0001960) Train Loss: 0.00090206, Train Steps/Sec: 2.36
2024-04-16 at 14:56:43 | INFO | (18.3%) (step=0001970) Train Loss: 0.00093777, Train Steps/Sec: 2.35
2024-04-16 at 14:56:47 | INFO | (19.9%) (step=0001980) Train Loss: 0.00088077, Train Steps/Sec: 2.33
2024-04-16 at 14:56:52 | INFO | (21.5%) (step=0001990) Train Loss: 0.00210074, Train Steps/Sec: 2.33
2024-04-16 at 14:56:56 | INFO | (23.1%) (step=0002000) Train Loss: 0.00088452, Train Steps/Sec: 2.35
2024-04-16 at 14:57:00 | INFO | (24.7%) (step=0002010) Train Loss: 0.00084472, Train Steps/Sec: 2.30
2024-04-16 at 14:57:04 | INFO | (26.3%) (step=0002020) Train Loss: 0.00157212, Train Steps/Sec: 2.35
2024-04-16 at 14:57:09 | INFO | (27.9%) (step=0002030) Train Loss: 0.00088887, Train Steps/Sec: 2.37
2024-04-16 at 14:57:13 | INFO | (29.6%) (step=0002040) Train Loss: 0.00121071, Train Steps/Sec: 2.33
2024-04-16 at 14:57:17 | INFO | (31.2%) (step=0002050) Train Loss: 0.00239473, Train Steps/Sec: 2.39
2024-04-16 at 14:57:21 | INFO | (32.8%) (step=0002060) Train Loss: 0.00092771, Train Steps/Sec: 2.34
2024-04-16 at 14:57:26 | INFO | (34.4%) (step=0002070) Train Loss: 0.00082739, Train Steps/Sec: 2.33
2024-04-16 at 14:57:30 | INFO | (36.0%) (step=0002080) Train Loss: 0.00082291, Train Steps/Sec: 2.32
2024-04-16 at 14:57:34 | INFO | (37.6%) (step=0002090) Train Loss: 0.00076129, Train Steps/Sec: 2.33
2024-04-16 at 14:57:39 | INFO | (39.3%) (step=0002100) Train Loss: 0.00074910, Train Steps/Sec: 2.34
2024-04-16 at 14:57:43 | INFO | (40.9%) (step=0002110) Train Loss: 0.00188927, Train Steps/Sec: 2.35
2024-04-16 at 14:57:47 | INFO | (42.5%) (step=0002120) Train Loss: 0.00084400, Train Steps/Sec: 2.33
2024-04-16 at 14:57:51 | INFO | (44.1%) (step=0002130) Train Loss: 0.00080961, Train Steps/Sec: 2.33
2024-04-16 at 14:57:56 | INFO | (45.7%) (step=0002140) Train Loss: 0.00076027, Train Steps/Sec: 2.34
2024-04-16 at 14:58:00 | INFO | (47.3%) (step=0002150) Train Loss: 0.00077623, Train Steps/Sec: 2.37
2024-04-16 at 14:58:04 | INFO | (48.9%) (step=0002160) Train Loss: 0.00088113, Train Steps/Sec: 2.35
2024-04-16 at 14:58:08 | INFO | (50.6%) (step=0002170) Train Loss: 0.00075117, Train Steps/Sec: 2.32
2024-04-16 at 14:58:13 | INFO | (52.2%) (step=0002180) Train Loss: 0.00084181, Train Steps/Sec: 2.36
2024-04-16 at 14:58:17 | INFO | (53.8%) (step=0002190) Train Loss: 0.00075109, Train Steps/Sec: 2.36
2024-04-16 at 14:58:21 | INFO | (55.4%) (step=0002200) Train Loss: 0.00087840, Train Steps/Sec: 2.34
2024-04-16 at 14:58:26 | INFO | (57.0%) (step=0002210) Train Loss: 0.00075105, Train Steps/Sec: 2.33
2024-04-16 at 14:58:30 | INFO | (58.6%) (step=0002220) Train Loss: 0.00075068, Train Steps/Sec: 2.35
2024-04-16 at 14:58:34 | INFO | (60.3%) (step=0002230) Train Loss: 0.00087918, Train Steps/Sec: 2.34
2024-04-16 at 14:58:38 | INFO | (61.9%) (step=0002240) Train Loss: 0.00074336, Train Steps/Sec: 2.34
2024-04-16 at 14:58:43 | INFO | (63.5%) (step=0002250) Train Loss: 0.00075185, Train Steps/Sec: 2.36
